"period","geography","vehicle_type","powertrain","observation_level","source_id","sales","unit","period_type","metric","estimate_status","coverage_status","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","row_count","range_sales"
"2023","Australia","total","total","market_total","aaa_ev_index",1162013,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index light-vehicle market rollup across broad vehicle and fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,1156203,1167823,"light-vehicle market only; excludes heavy commercial",2,54767
"2023","Australia","total","total","market_total","carexpert_2023_full",1216780,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"CarExpert reports VFACTS full-year 2023 market total.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1192444,1241116,"",2,54767
"2024","Australia","total","BEV","powertrain_total","aaa_ev_index",91293,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,90837,91749,"",2,18707
"2024","Australia","total","BEV","powertrain_total","guardian_2024_vfacts",110000,"vehicles","annual_sales","new_vehicle_sales","approximate","source_reported_period",FALSE,"Approximate EV unit count reported in article.","B","media_vfacts_quote","The Guardian","unknown_or_mixed","BEV","all_new_vehicles","approximate_reported",12,96800,123200,"",2,18707
"2024","Australia","total","total","market_total","aaa_ev_index",1182225,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index light-vehicle market rollup across broad vehicle and fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,1176314,1188136,"light-vehicle market only; excludes heavy commercial",2,38382
"2024","Australia","total","total","market_total","guardian_2024_vfacts",1220607,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Guardian reports 2024 VFACTS total new vehicle sales.","B","media_vfacts_quote","The Guardian","unknown_or_mixed","total","all_new_vehicles","direct_media_vfacts_quote",2,1196195,1245019,"",2,38382
"2025","Australia","light_commercial","total","vehicle_type_total","aaa_ev_index",268239,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,266898,269580,"",2,4990
"2025","Australia","light_commercial","total","vehicle_type_total","carexpert_2025_full",273229,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown includes Tesla and Polestar sales.","B","media_vfacts_quote","CarExpert","includes_tesla","total","light_vehicle","direct_media_vfacts_quote",2,267764,278694,"",2,4990
"2025","Australia","passenger","total","vehicle_type_total","aaa_ev_index",149940,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,149190,150690,"",2,14907
"2025","Australia","passenger","total","vehicle_type_total","carexpert_2025_full",164847,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown includes Tesla and Polestar sales.","B","media_vfacts_quote","CarExpert","includes_tesla","total","light_vehicle","direct_media_vfacts_quote",2,161550,168144,"",2,14907
