"year","quarter_num","quarter","state","vehicle_type","broad_vehicle_type","fuel_type","sales"
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large Car","passenger","PHEV",1
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium Car","passenger","PHEV",1
2022,1,"Q1 2022","NEW SOUTH WALES","Medium Car","passenger","PHEV",16
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium Car","passenger","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Medium Car","passenger","PHEV",3
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium Car","passenger","PHEV",3
2022,1,"Q1 2022","TASMANIA","Medium Car","passenger","PHEV",0
2022,1,"Q1 2022","VICTORIA","Medium Car","passenger","PHEV",19
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium Car","passenger","PHEV",3
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small Car","passenger","PHEV",2
2022,1,"Q1 2022","NEW SOUTH WALES","Small Car","passenger","PHEV",8
2022,1,"Q1 2022","QUEENSLAND","Small Car","passenger","PHEV",8
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small Car","passenger","PHEV",0
2022,1,"Q1 2022","TASMANIA","Small Car","passenger","PHEV",0
2022,1,"Q1 2022","VICTORIA","Small Car","passenger","PHEV",6
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small Car","passenger","PHEV",2
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Sports Car","passenger","PHEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Sports Car","passenger","PHEV",1
2022,1,"Q1 2022","QUEENSLAND","Sports Car","passenger","PHEV",2
2022,1,"Q1 2022","SOUTH AUSTRALIA","Sports Car","passenger","PHEV",0
2022,1,"Q1 2022","TASMANIA","Sports Car","passenger","PHEV",0
2022,1,"Q1 2022","VICTORIA","Sports Car","passenger","PHEV",1
2022,1,"Q1 2022","WESTERN AUSTRALIA","Sports Car","passenger","PHEV",1
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large SUV","SUV","PHEV",1
2022,1,"Q1 2022","NEW SOUTH WALES","Large SUV","SUV","PHEV",47
2022,1,"Q1 2022","NORTHERN TERRITORY","Large SUV","SUV","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Large SUV","SUV","PHEV",25
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large SUV","SUV","PHEV",9
2022,1,"Q1 2022","TASMANIA","Large SUV","SUV","PHEV",0
2022,1,"Q1 2022","VICTORIA","Large SUV","SUV","PHEV",61
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large SUV","SUV","PHEV",3
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium SUV","SUV","PHEV",20
2022,1,"Q1 2022","NEW SOUTH WALES","Medium SUV","SUV","PHEV",175
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium SUV","SUV","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Medium SUV","SUV","PHEV",102
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium SUV","SUV","PHEV",36
2022,1,"Q1 2022","TASMANIA","Medium SUV","SUV","PHEV",9
2022,1,"Q1 2022","VICTORIA","Medium SUV","SUV","PHEV",170
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium SUV","SUV","PHEV",35
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small SUV","SUV","PHEV",15
2022,1,"Q1 2022","NEW SOUTH WALES","Small SUV","SUV","PHEV",63
2022,1,"Q1 2022","NORTHERN TERRITORY","Small SUV","SUV","PHEV",2
2022,1,"Q1 2022","QUEENSLAND","Small SUV","SUV","PHEV",54
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small SUV","SUV","PHEV",22
2022,1,"Q1 2022","TASMANIA","Small SUV","SUV","PHEV",7
2022,1,"Q1 2022","VICTORIA","Small SUV","SUV","PHEV",75
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small SUV","SUV","PHEV",28
2022,2,"Q2 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","NEW SOUTH WALES","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","QUEENSLAND","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","SOUTH AUSTRALIA","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","VICTORIA","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","WESTERN AUSTRALIA","Ute (2WD)","light_commercial","BEV",0
2022,2,"Q2 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","NEW SOUTH WALES","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","NORTHERN TERRITORY","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","QUEENSLAND","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","SOUTH AUSTRALIA","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","TASMANIA","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","VICTORIA","Ute (4WD)","light_commercial","BEV",0
2022,2,"Q2 2022","WESTERN AUSTRALIA","Ute (4WD)","light_commercial","BEV",0
