"manufacturer_id","vehicle_class_id","fuel_type_id","source_id","query_year","vehicle_display_id","model","body","engine","transmission","drivetrain","tailpipe_co2_comb_g_km","tailpipe_co2_urban_g_km","tailpipe_co2_extra_g_km","annual_fuel_cost_aud","fuel_consumption_comb_l_100km","fuel_consumption_urban_l_100km","fuel_consumption_extra_l_100km","energy_consumption_wh_km","electric_range_km","air_pollution_standard","annual_tailpipe_co2_tonnes","fuel_lifecycle_co2_g_km","noise_data","test_cycle","source_url","raw_html_path","fuel_type_label","powertrain_group","vehicle_class_label","manufacturer_label"
5,4,4,"gvg_current_search",2025,"28327","Audi SQ7 20 Inch Wheel","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",190,221,172,2076,7.2,8.4,6.5,NA,NA,"Euro 6",2.66,244,"93 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,4,4,"gvg_current_search",2025,"28328","Audi SQ7 21 & 22 Inch Wheel","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",199,228,182,2192,7.6,8.7,6.9,NA,NA,"Euro 6",2.79,257,"93 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,8,4,"gvg_current_search",2025,"30586","Audi SQ7 quattro Tiptronic 20","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",198,226,183,2163,7.5,8.6,6.9,NA,NA,"Euro 6",2.77,254,"77 dBA <br/>@ 3563 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class8_make5.html","Diesel","ICE_diesel","People Mover","Audi"
5,8,4,"gvg_current_search",2025,"30587","Audi SQ7 quattro Tiptronic 21","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",198,227,183,2163,7.5,8.6,6.9,NA,NA,"Euro 6",2.77,254,"77 dBA <br/>@ 3563 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class8_make5.html","Diesel","ICE_diesel","People Mover","Audi"
5,4,4,"gvg_current_search",2025,"30589","Audi SQ7 quattro Tiptronic 22","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",200,227,185,2192,7.6,8.6,7,NA,NA,"Euro 6",2.8,257,"77 dBA <br/>@ 3563 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,8,4,"gvg_current_search",2025,"30588","Audi SQ7 quattro Tiptronic 22","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",200,227,185,2192,7.6,8.6,7,NA,NA,"Euro 6",2.8,257,"77 dBA <br/>@ 3563 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class8_make5.html","Diesel","ICE_diesel","People Mover","Audi"
5,4,4,"gvg_current_search",2025,"30598","Audi SQ8 quattro 21","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",204,226,191,2250,7.8,8.6,7.2,NA,NA,"Euro 6",2.86,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,4,4,"gvg_current_search",2025,"30507","Audi SQ8 quattro 21","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",204,226,191,2250,7.8,8.6,7.2,NA,NA,"Euro 6",2.86,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,4,4,"gvg_current_search",2025,"30599","Audi SQ8 quattro 22","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",205,227,193,2250,7.8,8.6,7.3,NA,NA,"Euro 6",2.87,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,4,4,"gvg_current_search",2025,"30600","Audi SQ8 quattro 22","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",206,227,193,2250,7.8,8.6,7.4,NA,NA,"Euro 6",2.88,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
