"period","stock_date","geography","state","vehicle_type","powertrain","stock","unit","period_type","metric","source_id","market_scope","coverage_status","notes"
2021,"2021-01-31","state:WA","WA","light_vehicle","ICE",2052773,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:WA","WA","light_vehicle","total",2073950,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2022,"2022-01-31","Australia",NA,"light_vehicle","BEV",33978,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2022,"2022-01-31","Australia",NA,"light_vehicle","HEV_or_PHEV",276074,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2022,"2022-01-31","Australia",NA,"light_vehicle","ICE",18511346,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2022,"2022-01-31","Australia",NA,"light_vehicle","total",18821398,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2022,"2022-01-31","state:ACT","ACT","light_vehicle","BEV",1474,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:ACT","ACT","light_vehicle","HEV_or_PHEV",7590,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:ACT","ACT","light_vehicle","ICE",296449,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:ACT","ACT","light_vehicle","total",305513,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2022,"2022-01-31","state:NSW","NSW","light_vehicle","BEV",10499,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:NSW","NSW","light_vehicle","HEV_or_PHEV",95542,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:NSW","NSW","light_vehicle","ICE",5358479,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:NSW","NSW","light_vehicle","total",5464520,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
