"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","BMW","BMW 3 Series","PHEV",1,1,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
"TASMANIA","Ute (2WD)","Mitsubishi","Mitsubishi Triton","ICE",19,18,12,16,6,13,9,10,11,3,7,14,5,4,11,16,4
"VICTORIA","Medium SUV","Skoda","Skoda Karoq","ICE",61,59,95,114,187,141,126,107,101,82,44,50,46,49,32,49,42
"SOUTH AUSTRALIA","Small SUV","Lexus","Lexus LBX","Hybrid",0,0,0,0,0,0,0,0,3,20,15,17,23,20,15,10,7
"SOUTH AUSTRALIA","Medium SUV","Mitsubishi","Mitsubishi Outlander","PHEV",5,0,21,10,11,10,65,170,85,93,156,104,188,42,88,51,87
"WESTERN AUSTRALIA","Medium SUV","CUPRA","CUPRA Terramar","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,9
"SOUTH AUSTRALIA","Sports Car","Chevrolet","Chevrolet Corvette Stingray","ICE",1,4,4,2,1,7,6,4,3,4,16,16,8,3,10,2,2
"QUEENSLAND","Large SUV","Jeep","Jeep Wrangler","ICE",74,88,90,73,51,81,64,71,61,58,50,41,36,33,31,25,31
"TASMANIA","Large Car","Audi","Audi e-tron GT","BEV",0,0,0,0,2,3,0,1,1,0,0,0,1,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Maserati","Maserati Levante","ICE",9,9,3,2,2,4,0,2,5,2,0,2,1,1,0,0,0
"TASMANIA","Medium Car","Hyundai","Hyundai Ioniq 6","BEV",0,0,0,0,2,2,3,3,1,0,1,1,2,1,1,6,0
"WESTERN AUSTRALIA","Small SUV","Mercedes-Benz","Mercedes-Benz GLA-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
"VICTORIA","Large Car","BMW","BMW 8 Series Gran Coupe","ICE",5,4,4,13,3,11,4,2,1,2,1,1,2,4,3,1,0
"VICTORIA","Small SUV","CUPRA","CUPRA Ateca","ICE",0,0,13,95,150,51,4,15,7,69,16,14,8,7,10,5,29
"SOUTH AUSTRALIA","Sports Car","McLaren","McLaren Coupe/Conv","PHEV",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
"SOUTH AUSTRALIA","Medium Car","Volvo","Volvo S60","PHEV",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
