"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"VICTORIA","Large SUV","Mercedes-Benz","Mercedes-Benz G-Class","ICE",13,79,29,4,6,28,44,47,45,31,36,40,29,21,52,54,0
"SOUTH AUSTRALIA","People Mover","Mercedes-Benz","Mercedes-Benz Marco Polo","ICE",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Large Car","MG","MG IM5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17
"TASMANIA","Large Car","BMW","BMW i5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"QUEENSLAND","Medium SUV","Zeekr","Zeekr 7X","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,210,318
"QUEENSLAND","Medium SUV","Subaru","Subaru Forester","ICE",639,252,274,540,686,543,572,448,479,388,351,407,410,449,395,272,234
"VICTORIA","Large SUV","GWM","GWM Tank 300","ICE",0,0,0,0,0,21,68,343,221,170,138,129,157,308,275,239,238
"TASMANIA","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz EQB","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TASMANIA","Small Car","MG","MG MG4","BEV",0,0,0,0,0,0,17,40,41,32,25,49,35,16,20,5,14
"QUEENSLAND","Medium Car","Volvo","Volvo S60","PHEV",0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0
"VICTORIA","People Mover","Volkswagen","Volkswagen California","ICE",6,5,7,5,3,1,1,3,8,6,3,3,2,0,0,0,0
"NORTHERN TERRITORY","Small Car","MINI","MINI Hatch","BEV",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Sports Car","MG","MG Cyberster","BEV",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2
"WESTERN AUSTRALIA","Large SUV","Land Rover","Land Rover Defender","PHEV",0,0,0,0,0,0,0,1,1,4,3,1,3,4,4,1,0
"TASMANIA","Small Car","Volkswagen","Volkswagen Golf","ICE",6,12,21,19,10,9,21,16,4,3,14,11,8,13,15,7,13
"VICTORIA","Small SUV","Stellantis","Alfa Romeo Junior","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,7
"WESTERN AUSTRALIA","Large Car","BMW","BMW 5 Series","BEV",0,0,0,0,0,0,0,1,3,0,1,0,10,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","BYD","BYD Sealion 6","PHEV",0,0,0,0,0,0,0,0,0,15,116,107,76,56,56,44,46
"NEW SOUTH WALES","People Mover","Ford","Ford Tourneo","ICE",0,0,0,0,0,0,0,0,0,0,0,11,50,78,80,81,62
"WESTERN AUSTRALIA","Large SUV","Ford","Ford Everest","ICE",185,363,308,411,381,432,450,552,495,781,820,857,571,771,747,765,640
"QUEENSLAND","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","ICE",0,0,4,3,3,5,4,5,2,5,5,2,2,5,3,2,0
"TASMANIA","Van","Renault","Renault Kangoo","ICE",4,2,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0
"QUEENSLAND","Medium SUV","Omoda Jaecoo","Jaecoo J7","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"TASMANIA","Small SUV","Suzuki","Suzuki Vitara","ICE",2,9,27,12,12,6,15,65,16,23,63,77,17,19,15,4,5
"NEW SOUTH WALES","Medium Car","BMW","BMW 4 Series Gran Coupe","ICE",50,121,91,42,41,135,70,18,19,29,15,13,3,0,2,0,0
"QUEENSLAND","Small Car","Kia","Kia Picanto","ICE",234,183,357,249,234,463,631,308,180,389,339,215,453,386,416,388,345
"VICTORIA","Large SUV","BYD","BYD Sealion 8","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459
"AUSTRALIAN CAPITAL TERRITORY","Van","LDV","LDV eDeliver 7","BEV",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"VICTORIA","Large SUV","Omoda Jaecoo","Omoda Jaecoo Omoda 9","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,71,55
"QUEENSLAND","Medium SUV","Mercedes-Benz","Mercedes-Benz GLB-Class","ICE",52,73,57,64,60,94,33,26,37,56,62,43,46,27,37,27,0
"NORTHERN TERRITORY","Medium Car","Lexus","Lexus ES","Hybrid",1,2,0,0,1,1,1,2,1,1,0,0,1,1,0,1,0
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Kia","Kia Carnival","Hybrid",0,0,0,0,0,0,0,0,0,2,6,6,20,15,5,13,15
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Kia","Kia EV5","BEV",0,0,0,0,0,0,0,0,0,0,0,18,20,21,24,27,20
"SOUTH AUSTRALIA","Ute (2WD)","Ford","Ford Ranger","ICE",32,45,79,86,102,49,52,65,92,84,57,37,29,29,34,13,36
"NORTHERN TERRITORY","Large Car","Mercedes-Benz","Mercedes-Benz EQE","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"WESTERN AUSTRALIA","Small SUV","Jeep","Jeep Compass","PHEV",0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0
"WESTERN AUSTRALIA","Small Car","BMW","BMW 1 Series","ICE",12,23,26,11,37,24,25,13,14,13,13,37,32,16,37,24,26
"SOUTH AUSTRALIA","Large SUV","Chery","Chery Tiggo 8 Pro","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,62,34
"NEW SOUTH WALES","Medium SUV","Peugeot","Peugeot 3008 / E3008","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"NEW SOUTH WALES","Small SUV","Chery","Chery C5/E5 & Omoda 5","BEV",0,0,0,0,0,0,0,0,0,0,25,32,29,61,70,65,53
"NEW SOUTH WALES","Large SUV","Peugeot","Peugeot 5008","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2
"TASMANIA","Ute (4WD)","Chevrolet","Chevrolet Silverado","ICE",4,3,12,17,9,15,13,21,9,8,11,5,9,10,8,6,9
"SOUTH AUSTRALIA","Medium SUV","Audi","Audi Q4 e-tron","BEV",0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,6,8
"NEW SOUTH WALES","Sports Car","MINI","MINI Cabrio","ICE",24,24,25,1,26,18,56,49,44,29,2,0,10,49,53,46,44
"VICTORIA","Medium SUV","Renault","Renault Scenic E-Tech","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"VICTORIA","Small SUV","Volvo","Volvo XC40","ICE",307,352,345,296,203,256,246,226,162,142,171,124,160,134,167,111,0
"NEW SOUTH WALES","Large SUV","Polestar","Polestar 3","BEV",0,0,0,0,0,0,0,0,0,0,36,13,13,31,53,119,15
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","LDV","LDV Terron 9","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3
"WESTERN AUSTRALIA","Medium SUV","Audi","Audi Q4 e-tron","BEV",0,0,0,0,0,0,0,0,0,0,0,0,29,13,24,17,5
"NORTHERN TERRITORY","Large SUV","Ford","Ford Mustang Mach-E","BEV",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
"QUEENSLAND","People Mover","Zeekr","Zeekr 009","BEV",0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,9,3
"QUEENSLAND","Small Car","Peugeot","Peugeot e308","BEV",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Land Rover","Land Rover Range Rover Velar","PHEV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"VICTORIA","People Mover","LDV","LDV Mifa9","BEV",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"TASMANIA","Small Car","Kia","Kia Rio","ICE",28,29,34,12,15,21,26,1,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Ute (4WD)","Jeep","Jeep Gladiator","ICE",24,11,8,21,6,10,6,8,1,3,7,12,5,6,4,2,0
"NEW SOUTH WALES","People Mover","Mercedes-Benz","Mercedes-Benz V-Class","ICE",43,32,50,50,21,29,25,25,21,11,22,36,34,25,20,29,0
"QUEENSLAND","Small SUV","MG","MG ZS","Hybrid",0,0,0,0,0,0,0,0,0,0,0,27,163,211,169,192,209
"TASMANIA","Medium SUV","GWM","Haval H6","ICE",3,8,1,2,16,22,6,15,6,7,22,11,15,18,18,16,0
"VICTORIA","Medium SUV","Audi","Audi Q6 e-tron","BEV",0,0,0,0,0,0,0,0,0,0,0,0,10,20,36,53,51
"WESTERN AUSTRALIA","Medium SUV","Honda","Honda CR-V","ICE",191,187,210,186,306,150,100,109,174,116,87,66,105,76,55,72,83
"VICTORIA","Medium SUV","Subaru","Subaru Forester","Hybrid",95,65,74,57,131,45,82,202,146,107,93,37,22,55,342,483,393
"SOUTH AUSTRALIA","Large SUV","Porsche","Porsche Cayenne Wagon","PHEV",2,0,1,3,0,0,0,0,5,1,1,1,0,0,0,0,1
"NEW SOUTH WALES","Small SUV","Mercedes-Benz Cars","Mercedes-Benz GLA-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","JAC","JAC T9","ICE",0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,5
"AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","Isuzu Ute","Isuzu Ute D-Max","ICE",10,15,1,2,4,16,7,12,12,9,12,5,5,15,17,8,12
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","Volkswagen","Volkswagen Passat","ICE",3,1,1,6,3,8,4,1,2,1,1,0,4,12,0,0,0
"NEW SOUTH WALES","People Mover","Kia","Kia Carnival","Hybrid",0,0,0,0,0,0,0,0,0,21,188,104,231,243,96,369,452
"VICTORIA","Medium SUV","Peugeot","Peugeot 5008 (Gen 2)","ICE",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"SOUTH AUSTRALIA","Large Car","MG","MG IM5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6
"WESTERN AUSTRALIA","Large SUV","Mercedes-Benz Cars","Mercedes-Benz GLS-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NEW SOUTH WALES","Small SUV","Suzuki","Suzuki S-Cross","ICE",26,0,29,16,16,23,34,25,40,16,28,32,51,55,33,24,6
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Skoda","Skoda Kodiaq","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VICTORIA","Ute (4WD)","Toyota","Toyota Tundra","Hybrid",0,0,0,0,0,0,0,11,18,16,5,48,60,43,44,53,47
"QUEENSLAND","Van","LDV","LDV V80","ICE",19,25,65,70,54,60,34,30,22,21,9,21,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Maserati","Maserati Levante","Hybrid",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUEENSLAND","Small Car","Kia","Kia Cerato","ICE",753,781,680,327,230,361,180,351,698,1004,1097,583,215,44,0,0,0
"QUEENSLAND","People Mover","Mercedes-Benz","Mercedes-Benz Valente","ICE",11,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Small Car","MINI","MINI Hatch","ICE",81,144,148,39,81,141,152,104,150,96,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Mercedes-Benz","Mercedes-Benz GLA-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"QUEENSLAND","Small Car","MINI","MINI Clubman","ICE",15,22,14,2,1,14,32,28,27,6,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Large SUV","Maserati","Maserati Levante","Hybrid",0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Sports Car","Mercedes-Benz","Mercedes-Benz CLE-Class","ICE",0,0,0,0,0,0,0,0,0,49,63,62,75,71,73,73,0
"NEW SOUTH WALES","Ute (4WD)","SsangYong","KGM Musso/MusXLV","ICE",56,63,153,188,205,221,149,113,153,191,123,75,104,0,0,0,0
"WESTERN AUSTRALIA","Sports Car","Chevrolet","Chevrolet Corvette Stingray","ICE",2,7,5,4,3,8,11,5,1,4,11,13,4,0,7,1,2
"TASMANIA","Small SUV","Toyota","Toyota C-HR","ICE",22,23,23,6,15,17,31,6,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Medium SUV","Lexus","Lexus NX","ICE",42,15,28,40,52,71,40,58,39,20,15,19,11,19,27,11,2
"NEW SOUTH WALES","Medium SUV","Mitsubishi","Mitsubishi Outlander","PHEV",9,1,49,20,30,16,211,359,255,419,529,429,699,101,147,144,198
"SOUTH AUSTRALIA","Small SUV","Omoda Jaecoo","Omoda Jaecoo J5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"WESTERN AUSTRALIA","Small SUV","Alfa Romeo","Alfa Romeo Tonale","ICE",0,0,0,0,0,12,7,4,4,3,5,3,0,1,3,1,4
"TASMANIA","Small SUV","Alfa Romeo","Alfa Romeo Tonale","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NEW SOUTH WALES","People Mover","Denza","Denza D9","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NORTHERN TERRITORY","Sports Car","Toyota","Toyota GR86 / 86","ICE",0,0,2,0,1,4,2,4,2,0,2,3,3,1,2,1,1
"SOUTH AUSTRALIA","Medium SUV","Lexus","Lexus NX","ICE",22,6,11,20,28,42,31,22,17,9,6,9,7,16,15,8,4
"QUEENSLAND","Small SUV","Hyundai","Hyundai Kona","ICE",663,661,640,389,308,352,753,682,564,754,661,550,594,728,659,534,487
"WESTERN AUSTRALIA","Large SUV","Porsche","Porsche Cayenne","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,4,0
"QUEENSLAND","Large SUV","Land Rover","Land Rover Defender","ICE",80,65,66,105,29,290,269,248,106,196,210,167,171,207,198,162,152
"NEW SOUTH WALES","People Mover","Volkswagen","Volkswagen Multivan","ICE",25,55,91,63,73,88,53,76,56,79,67,35,35,26,44,24,46
"NEW SOUTH WALES","Small SUV","Nissan","Nissan Qashqai","ICE",0,2,0,188,481,375,489,456,576,394,307,192,244,220,188,124,49
"QUEENSLAND","Medium SUV","Lexus","Lexus NX","PHEV",13,13,9,6,7,10,0,0,0,10,21,17,12,36,30,71,72
"QUEENSLAND","Small Car","CUPRA","CUPRA Leon","ICE",0,0,5,16,9,11,5,8,8,5,11,8,4,5,8,20,2
"TASMANIA","Sports Car","Mercedes-Benz","Mercedes-Benz CLE-Class","ICE",0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
"VICTORIA","Ute (4WD)","RAM","RAM 2500","ICE",28,39,32,47,36,52,37,37,22,43,19,22,15,27,19,24,43
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Nissan","Nissan Pathfinder","ICE",0,0,0,3,7,6,5,4,0,3,0,0,0,9,3,1,2
"QUEENSLAND","Medium Car","Toyota","Toyota Camry","Hybrid",536,215,499,190,270,417,633,698,786,1055,395,243,310,415,542,414,544
"VICTORIA","Large SUV","Hyundai","Hyundai Palisade","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,185
"SOUTH AUSTRALIA","Large SUV","Polestar","Polestar 3","BEV",0,0,0,0,0,0,0,0,0,0,0,3,0,10,1,3,0
"WESTERN AUSTRALIA","Small Car","Kia","Kia Rio","ICE",81,92,92,82,119,116,79,2,0,0,0,0,0,0,0,0,0
"TASMANIA","Medium SUV","GWM","Haval H6","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,12,0
"WESTERN AUSTRALIA","Small SUV","Suzuki","Suzuki Jimny","ICE",347,292,225,191,175,246,178,128,275,306,334,379,320,283,238,202,254
"NEW SOUTH WALES","Large SUV","Volvo Car","Volvo XC90","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Toyota","Toyota Yaris Cross","Hybrid",47,19,28,49,17,11,33,41,34,48,33,26,48,47,42,37,39
"WESTERN AUSTRALIA","Large SUV","Deepal","Deepal E07","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8
"TASMANIA","Small SUV","Toyota","Toyota Yaris Cross","Hybrid",35,15,14,24,17,6,12,25,26,17,14,25,34,55,35,47,40
"SOUTH AUSTRALIA","Medium Car","Mercedes-Benz Cars","Mercedes-Benz CLA-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","Large SUV","Kia","Kia EV9","BEV",0,0,0,0,0,0,0,74,55,79,66,39,49,39,44,20,9
"NORTHERN TERRITORY","Medium Car","Hyundai","Hyundai Ioniq 6","BEV",0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
"VICTORIA","Medium Car","Honda","Honda Accord","ICE",1,2,10,3,2,3,6,1,0,2,4,0,0,0,0,0,0
"SOUTH AUSTRALIA","Small SUV","BMW","BMW X2","ICE",12,12,12,9,4,3,1,0,3,5,14,11,11,13,15,7,5
"WESTERN AUSTRALIA","Medium SUV","KGM","KGM Korando","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4
"QUEENSLAND","Large SUV","Mercedes-Benz Cars","Mercedes-Benz GLS-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","GWM","GWM Haval H6","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NEW SOUTH WALES","Van","Hyundai","Hyundai iLOAD","ICE",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Medium SUV","GWM","GWM Haval H6","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Omoda Jaecoo","Omoda Jaecoo Omoda 9","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"NEW SOUTH WALES","Large SUV","GWM","GWM Tank 300","ICE",0,0,0,0,0,32,72,345,200,156,156,184,151,376,338,341,290
"NORTHERN TERRITORY","Medium Car","Audi","Audi A4","ICE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Small SUV","Hyundai","Hyundai Kona","ICE",650,1173,700,504,484,594,1007,782,943,930,827,591,742,914,756,747,644
"NORTHERN TERRITORY","Ute (4WD)","GWM","GWM Ute","ICE",6,19,22,28,20,20,24,36,33,36,27,24,32,9,1,0,0
"SOUTH AUSTRALIA","Small Car","Volkswagen","Volkswagen Golf","ICE",28,58,64,76,49,63,90,68,29,38,57,67,56,68,78,50,43
"SOUTH AUSTRALIA","Medium SUV","Porsche","Porsche Macan","BEV",0,0,0,0,0,0,0,0,0,0,0,1,15,12,11,11,6
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Lexus","Lexus LM","Hybrid",0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0
"NEW SOUTH WALES","Small SUV","Subaru","Subaru XV","ICE",563,791,844,825,396,32,1,2,0,0,0,0,0,0,0,0,0
"TASMANIA","Large Car","Mercedes-Benz","Mercedes-Benz CLS-Class","ICE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Ute (2WD)","Mitsubishi","Mitsubishi Triton","ICE",92,69,77,35,68,50,44,70,84,49,42,47,54,29,58,65,50
"SOUTH AUSTRALIA","Large SUV","Land Rover","Land Rover Range Rover Sport","ICE",14,29,6,5,12,28,15,54,21,35,20,21,19,39,21,29,20
"WESTERN AUSTRALIA","Van","Renault","Renault Kangoo","BEV",2,1,1,0,0,0,0,0,0,4,2,1,0,2,2,4,0
"NEW SOUTH WALES","Large SUV","GMC","GMC Yukon","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,41,37
"VICTORIA","Small Car","Honda","Honda Civic","Hybrid",0,0,0,56,22,10,23,26,38,39,27,51,72,65,48,57,59
"NEW SOUTH WALES","People Mover","Volkswagen","Volkswagen California","ICE",4,12,16,6,23,10,16,11,15,18,11,7,7,0,0,0,0
"SOUTH AUSTRALIA","Ute (4WD)","Foton","Foton Tunland","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
"QUEENSLAND","Medium SUV","Hyundai","Hyundai Ioniq 5","BEV",22,36,48,35,37,29,40,46,52,52,97,41,59,41,24,14,18
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Volkswagen","Volkswagen ID. Buzz","BEV",0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,8,9
"TASMANIA","Small Car","BMW","BMW 2 Series Gran Coupe","ICE",1,1,3,1,1,1,0,1,1,0,1,1,0,0,0,0,1
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Ford","Ford Fiesta","ICE",0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Large Car","Genesis","Genesis G80","BEV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Sports Car","Mercedes-Benz Cars","Mercedes-AMG GT Cpe/Conv","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"SOUTH AUSTRALIA","Small Car","Ford","Ford Focus","ICE",6,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"QUEENSLAND","People Mover","Honda","Honda Odyssey","ICE",55,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Small Car","MINI","MINI Cooper","ICE",0,0,0,0,0,0,0,0,0,0,50,84,129,119,133,104,121
"TASMANIA","People Mover","Volkswagen","Volkswagen ID. Buzz","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1
"SOUTH AUSTRALIA","People Mover","LDV","LDV Mifa","ICE",0,0,0,0,4,0,7,5,9,7,3,8,1,4,0,0,1
"NEW SOUTH WALES","Sports Car","BMW","BMW 2 Series Coupe/Conv","ICE",71,20,49,97,53,107,101,163,147,221,135,110,68,158,120,94,110
"SOUTH AUSTRALIA","Large SUV","BMW","BMW XM","PHEV",0,0,0,0,0,0,3,1,0,2,1,2,1,2,1,1,1
"VICTORIA","Large SUV","Land Rover","Land Rover Range Rover Velar","PHEV",0,0,0,0,0,0,0,0,3,2,3,3,8,2,4,0,2
"NEW SOUTH WALES","Sports Car","Toyota","Toyota Supra","ICE",7,16,5,18,18,21,33,28,13,23,28,7,5,19,21,14,6
"QUEENSLAND","Medium Car","Mazda","Mazda6","ICE",68,34,70,123,95,75,45,61,79,56,39,76,89,72,20,2,2
"VICTORIA","Large Car","Genesis","Genesis G80","BEV",0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"QUEENSLAND","Medium SUV","Peugeot","Peugeot 408","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3
"WESTERN AUSTRALIA","Medium Car","Peugeot","Peugeot 308","PHEV",1,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
"SOUTH AUSTRALIA","Medium SUV","Mercedes-Benz","Mercedes-Benz EQB","BEV",0,0,6,0,2,9,16,11,2,4,4,8,11,10,8,7,0
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Toyota","Toyota Yaris","ICE",5,5,8,8,4,3,4,5,0,6,0,1,3,9,2,4,4
"QUEENSLAND","Ute (4WD)","MG","MG MGU9","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,141
"SOUTH AUSTRALIA","Small SUV","Citroen","Citroen C4","ICE",1,1,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Ute (4WD)","RAM","RAM 2500","ICE",4,10,6,6,5,24,10,15,8,8,9,6,14,7,4,9,12
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mitsubishi","Mitsubishi Outlander","PHEV",4,0,2,2,3,1,37,91,33,65,91,53,115,17,25,29,34
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Porsche","Porsche Cayenne","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Mitsubishi","Mitsubishi Pajero Sport","ICE",15,27,34,20,18,10,4,22,21,17,18,11,16,10,10,10,18
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Suzuki","Suzuki Swift","ICE",11,18,19,15,16,18,14,19,19,20,40,24,11,14,21,17,15
"WESTERN AUSTRALIA","Ute (2WD)","Isuzu Ute","Isuzu Ute D-Max","ICE",138,119,72,42,81,204,146,140,158,220,162,146,134,179,113,156,148
"VICTORIA","Small SUV","Toyota","Toyota Corolla Cross","ICE",0,0,0,151,56,87,235,143,153,52,16,124,1,1,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","SsangYong","KGM Musso/MusXLV","ICE",0,4,6,9,7,9,5,6,5,11,7,6,9,0,0,0,0
"NEW SOUTH WALES","Large SUV","Lexus","Lexus LX","ICE",0,75,18,20,100,114,96,67,52,37,32,69,23,68,67,60,41
"VICTORIA","Large SUV","MG","MG QS","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,68,116,114,73
"VICTORIA","Medium SUV","Toyota","Toyota RAV4","ICE",520,710,315,539,383,251,239,130,170,213,239,55,5,1,0,0,0
"VICTORIA","Sports Car","Rolls-Royce","Rolls-Royce Coupe/Conv","ICE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large Car","Mercedes-Benz","Mercedes-Benz EQE","BEV",0,0,0,0,2,2,6,2,3,5,1,2,1,1,0,0,0
"VICTORIA","Medium Car","Audi","Audi A5","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,37
"WESTERN AUSTRALIA","Ute (4WD)","Toyota","Toyota Hilux","ICE",1657,2007,1894,1690,1484,2155,2163,2081,1579,2557,1873,1685,1684,1948,2116,1767,1540
"VICTORIA","Medium SUV","Mercedes-Benz","Mercedes-Benz GLB-Class","ICE",248,252,263,286,244,365,96,123,78,148,186,141,129,147,114,165,0
"NORTHERN TERRITORY","Large SUV","Hyundai","Hyundai Santa Fe","ICE",6,3,3,2,7,2,7,3,6,5,1,0,2,1,1,0,1
"QUEENSLAND","Sports Car","McLaren","McLaren Coupe/Conv","ICE",2,3,2,2,3,3,5,2,2,3,2,4,5,4,1,3,0
"TASMANIA","Medium SUV","Mitsubishi","Mitsubishi Outlander","ICE",71,87,94,60,119,82,131,84,110,111,144,233,103,56,79,211,91
"WESTERN AUSTRALIA","Large SUV","Jeep","Jeep Grand Cherokee","PHEV",0,0,0,0,0,0,2,2,3,2,0,0,1,3,1,4,1
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Deepal","Deepal E07","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4
"SOUTH AUSTRALIA","Small SUV","Honda","Honda HR-V","Hybrid",0,11,8,6,12,4,32,8,28,23,20,22,31,25,53,29,36
"NORTHERN TERRITORY","Large SUV","LDV","LDV D90","ICE",2,17,3,6,9,45,4,3,14,4,8,6,7,8,7,9,5
