OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,Hunter Gleann - Hunter Valley Farm Stay Accommodation,"545 Hermitage Rd
Pokolbin NSW 2320
Australia",Non-networked,1,AC,AC,-32.6937456,151.2623294,Singleton Council,2320,Destination Charging R2
,Albatross Marina,"44 Cook Parade, Lemon Tree Passage NSW 2319",Non-networked,2,AC,AC,-32.7310234,152.0398771,Port Stephens Council,2319,Existing Destination Chargers
,HIES Electrical Services,"22-24 Almond St, Denman NSW 2328",Non-networked,3,AC,AC,-32.3831889,150.6818803,Muswellbrook Shire Council,2328,Existing Destination Chargers
,Zig Zag Railway,"840 Chifley Rd, Clarence NSW 2790",Non-networked,2,AC,AC,-33.4773043,150.2210313,"Lithgow Council, City of",2790,Existing Destination Chargers
,The Remington Orange,"1517 Forest Rd, Orange NSW 2800",Non-networked,6,AC,AC,-33.315586,149.0901336,Cabonne Council,2800,Existing Destination Chargers
,Angullong Wines ,"37 Victoria St, Millthorpe NSW 2798",Non-networked,1,AC,AC,-33.4457664,149.1845894,Blayney Shire Council,2798,Existing Destination Chargers
,Landcare & Sustainable Living Centre ,"110 York St, Booragul NSW 2284",Non-networked,2,AC,AC,-32.9683375,151.6061284,Lake Macquarie City Council,2284,Existing Destination Chargers
,Trading Post Laguna,"3718 Great N Rd, Laguna NSW 2325",Non-networked,1,AC,AC,-32.9904306,151.1307057,Cessnock City Council,2325,Existing Destination Chargers
,Hunter Wetlands Centre Australia,"1 Wetlands Pl, Shortland NSW 2307",Non-networked,2,AC,AC,-32.8763468,151.6966329,Newcastle City Council,2307,Existing Destination Chargers
,Kinda Kapers,"200 Pacific Hwy, Belmont North NSW 2280",Non-networked,2,AC,AC,-33.0101433,151.6726865,Lake Macquarie City Council,2280,Existing Destination Chargers
,Caves Coastal Bar and Bungalows,"27 Mawson Cl, Caves Beach NSW 2281",Non-networked,4,AC,AC,-33.1047207,151.6476497,Lake Macquarie City Council,2281,Existing Destination Chargers
,Fenwick's Marina,"31-33 Brooklyn Rd, Brooklyn NSW 2083",Non-networked,1,AC,AC,-33.5493918,151.2016162,"Hornsby, The Council of the Shire of",2083,Existing Destination Chargers
,,"1190 Tunnel Rd
Talmalmo NSW 2640
Australia",Non-networked,1,AC,AC,-35.9151139,147.3226129,Greater Hume Shire Council,2640,Destination Charging R1
,Mount Airlie,"34 Woodstock Rd, Woodstock NSW 2538",Non-networked,1,AC,AC,-35.3343561,150.416016,Shoalhaven City Council,2538,Existing Destination Chargers
,Queanbeyan Performing Arts Centre,"253 Crawford St, Queanbeyan NSW 2620",Non-networked,20,AC,AC,-35.3547552,149.2339358,Queanbeyan-Palerang Regional Council,2620,Existing Destination Chargers
,Broulee Brewhouse,"71 Coronation Dr
Broulee NSW 2537
Australia",Non-networked,2,AC,AC,-35.8483145,150.1758246,Eurobodalla Shire Council,2537,Destination Charging R1
,Mollymook Caravan Park,"32 Ilett St, Mollymook NSW 2539",Non-networked,1,AC,AC,-35.3412985,150.4649884,Shoalhaven City Council,2539,Existing Destination Chargers
,Next Tech Group Albury,"3/314 Kiewa St, South Albury NSW 2640",Non-networked,1,AC,AC,-36.090319,146.914596,Albury City Council,2640,Existing Destination Chargers
,Talbingo Caravan Park,"24 Whitty St, Talbingo NSW 2720",Non-networked,1,AC,AC,-35.5834847,148.2966413,Snowy Valleys Council,2720,Existing Destination Chargers
,Rainer Kwast Building & Design,"1211 Oallen Rd
Oallen NSW 2622
Australia",Non-networked,1,AC,AC,-35.163405,149.9581796,Queanbeyan-Palerang Regional Council,2622,Destination Charging R2
,Penrose Village General Store,"901 Penrose Rd, Penrose NSW 2579",Non-networked,1,AC,AC,-34.6727199,150.2123981,Wingecarribee Shire Council,2579,Existing Destination Chargers
,Kiama Community Charger,"19 Farmer St, Kiama NSW 2533",Non-networked,2,AC,AC,-34.6773742,150.849718,"Kiama, The Council of the Municipality of",2533,Existing Destination Chargers
,Top Shops Kiama,"162 Manning St, Kiama NSW 2533",Non-networked,1,AC,AC,-34.6808237,150.8494085,"Kiama, The Council of the Municipality of",2533,Existing Destination Chargers
,Southern Highlands Visitor Information Centre,"62-70 Main St, Mittagong NSW 2575",Non-networked,1,AC,AC,-34.4499592,150.451961,Wingecarribee Shire Council,2575,Existing Destination Chargers
,The Argyle Inn,"80 Orchard St
Taralga NSW 2580
Australia",Non-networked,2,AC,AC,-34.3987498,149.8194565,Upper Lachlan Shire Council,2580,Destination Charging R2
,Figtree Grove Shopping Centre,"19 Princes Hwy, Figtree NSW 2525",Non-networked,2,AC,AC,-34.4366153,150.8632982,Wollongong City Council,2525,Existing Destination Chargers
,Woolworths Tahmoor,"117 Remembrance Driveway, Tahmoor NSW 2573",Non-networked,3,AC,AC,-34.2232308,150.5930417,Wollondilly Shire Council,2573,Existing Destination Chargers
,Bay Central,"453A Captain Cook Dr, Woolooware NSW 2230",Non-networked,4,AC,AC,-34.0384451,151.1429673,Sutherland Shire Council,2230,Existing Destination Chargers
,Royal Motor Yacht Club Port Hacking,"228-232 Woolooware Rd, Burraneer NSW 2230",Non-networked,2,AC,AC,-34.0624042,151.1405166,Sutherland Shire Council,2230,Existing Destination Chargers
,Emerald Hills Shopping Village,"5 Emerald Hills Blvd, Leppington NSW 2179",Non-networked,2,AC,AC,-33.9964797,150.7924412,Camden Council,2179,Existing Destination Chargers
,,"25A Rowley St, Brighton-Le-Sands NSW 2216",Non-networked,1,AC,AC,-33.953397,151.157943,Bayside Council,2216,Existing Destination Chargers
,Bombay Bloomers,"49 St Pauls St, Randwick NSW 2031",Non-networked,2,AC,AC,-33.9201206,151.2437903,Randwick City Council,2031,Existing Destination Chargers
,St Kilda Street ,"1A St Kilda St, Bexley North NSW 2207",Non-networked,1,AC,AC,-33.9412753,151.1096638,Canterbury Bankstown Council,2207,Existing Destination Chargers
,Dutton Plaza,"8 Dutton Ln, Cabramatta NSW 2166",Non-networked,4,AC,AC,-33.8940119,150.9348248,Fairfield City Council,2166,Existing Destination Chargers
,Beauty by Jackie,"118 Mountview Ave, Narwee NSW 2209",Non-networked,1,AC,AC,-33.9494015,151.0682085,Georges River Council,2209,Existing Destination Chargers
,InterPark Thomas Street,"25 Thomas St, Ultimo NSW 2007",Non-networked,2,AC,AC,-33.8832473,151.1986734,"Sydney, Council of the City of",2007,Existing Destination Chargers
,Strathfield Square,"5 Churchill Ave, Strathfield NSW 2135",Non-networked,1,AC,AC,-33.8721979,151.0934226,Strathfield Municipal Council,2135,Existing Destination Chargers
,Bressington Park Dog Park,"Bressington Park, Underwood Rd, Homebush NSW 2140",Non-networked,1,AC,AC,-33.8528942,151.0801923,Strathfield Municipal Council,2140,Existing Destination Chargers
,CIRCA 1928 Art Hotel,"588 Dean St
Albury NSW 2640
Australia",Non-networked,1,AC,AC,-36.0802119,146.914813,Albury City Council,2640,Destination Charging R2
,Lake Albert Picnic Area,"29 Lake St, Lake Albert NSW 2650",Non-networked,2,AC,AC,-35.1711683,147.3792851,Wagga Wagga City Council,2650,Existing Destination Chargers
,Bridges on Meninya,"38 Meninya St
Moama NSW 2731
Australia",Non-networked,2,AC,AC,-36.1127529,144.7549308,Murray River Council,2731,Destination Charging R2
,Eddy’s of Canowindra,"13 Tilga St, Canowindra NSW 2804",Non-networked,1,AC,AC,-33.5655268,148.6639309,Cabonne Council,2804,Existing Destination Chargers
,Transgrid Discovery Hub,"27 Kincaid St, Wagga Wagga NSW 2650",Non-networked,2,AC,AC,-35.1036746,147.3675741,Wagga Wagga City Council,2650,Existing Destination Chargers
,Royal Hotel,"14 Olive St, Mandurama NSW 2792",Non-networked,1,AC,AC,-33.6483157,149.0750884,Blayney Shire Council,2792,Existing Destination Chargers
,GT Tooling,"34 Railway Rd S, Mulgrave NSW 2756",Non-networked,4,AC,AC,-33.6281673,150.8326267,Hawkesbury City Council,2756,Existing Destination Chargers
,Blacktown Animal Rehoming Centre,"20 Owen St, Glendenning NSW 2761",Non-networked,2,AC,AC,-33.7519596,150.8578778,Penrith City Council,2761,Existing Destination Chargers
,Granville Place,"38 Cowper St, Granville NSW 2142",Non-networked,3,AC,AC,-33.8321169,151.0129863,Cumberland Council,2142,Existing Destination Chargers
,Tallawong Village Retail,2 Conferta Ave Tallawong NSW 2762,Non-networked,35,AC,AC,-33.6923531,150.9070683,Penrith City Council,2762,Existing Destination Chargers
,Wenty Leagues,"50 Smith St, Wentworthville NSW 2145",Non-networked,3,AC,AC,-33.8123942,150.9629175,Cumberland Council,2145,Existing Destination Chargers
,Hartley Green Power,"22 Coxs River Rd, Little Hartley NSW 2790",Non-networked,3,AC,AC,-33.5671094,150.203535,"Lithgow Council, City of",2790,Existing Destination Chargers
,Eastern Creek Quarter XL,"181 Rooty Hill Rd S, Eastern Creek NSW 2766",Non-networked,3,AC,AC,-33.7861419,150.8540986,Penrith City Council,2766,Existing Destination Chargers
,Parramatta Station Car Park,"17 Wentworth St, Parramatta NSW 2150",Non-networked,3,AC,AC,-33.8191009,151.0045604,"Parramatta, Council of the City of",2150,Existing Destination Chargers
,The Quays Marina,"1856 Pittwater Rd, Church Point NSW 2105",Non-networked,2,AC,AC,-33.6510249,151.2891304,Northern Beaches Council,2105,Existing Destination Chargers
,Collaroy Park and Ride,"1068 Pittwater Rd, Collaroy NSW 2097",Non-networked,2,AC,AC,-33.7307257,151.3010644,Northern Beaches Council,2097,Existing Destination Chargers
,Alchemy Charge,"230 Harbord Rd, Brookvale NSW 2100",Non-networked,1,AC,AC,-33.7605156,151.2798579,Northern Beaches Council,2100,Existing Destination Chargers
,Blackmores Campus,"20 Jubilee Ave, Warriewood NSW 2102",Non-networked,2,AC,AC,-33.6774528,151.2909109,Northern Beaches Council,2102,Existing Destination Chargers
,KFC Frenchs Forest,"20 Frenchs Forest Rd E, Frenchs Forest NSW 2086",Non-networked,1,AC,AC,-33.7515351,151.2441705,Northern Beaches Council,2086,Existing Destination Chargers
,Col Crawford BMW,"485 Pittwater Rd, Brookvale NSW 2100",Non-networked,2,AC,AC,-33.7645609,151.2705731,Northern Beaches Council,2100,Existing Destination Chargers
,Pullman Sydney Airport,"191 O'Riordan St, Mascot NSW 2020",Non-networked,2,AC,AC,-33.9274779,151.1869668,Bayside Council,2020,Existing Destination Chargers
,TLE Electrical - Artarmon,"C/65 Reserve Rd, St Leonards NSW 2065",Non-networked,2,AC,AC,-33.8185641,151.1894192,North Sydney Council,2065,Existing Destination Chargers
,,"19 Nicholson St, Wollstonecraft, NSW 2065",Non-networked,2,AC,AC,-33.8269304,151.1991019,North Sydney Council,2065,Existing Destination Chargers
,Top Ryde City Shopping Centre,"129 Blaxland Rd, Ryde NSW 2112",Non-networked,2,AC,AC,-33.8123057,151.1059282,"Ryde, Council of the City of",2112,Existing Destination Chargers
,Hume Street Park,"44 Hume St, Crows Nest NSW 2065",Non-networked,2,AC,AC,-33.8244404,151.1998787,North Sydney Council,2065,Existing Destination Chargers
,Chatswood Place,"260 Victoria Ave, Chatswood NSW 2067",Non-networked,2,AC,AC,-33.7949453,151.188291,North Sydney Council,2067,Existing Destination Chargers
,Sub Base Platypus,"120 High St, North Sydney NSW 2060",Non-networked,4,AC,AC,-33.8432089,151.2170592,North Sydney Council,2060,Existing Destination Chargers
,Sydney Opera House,"2A Macquarie St, Sydney NSW 2000",Non-networked,2,AC,AC,-33.8593398,151.2135232,"Sydney, Council of the City of",2000,Existing Destination Chargers
,Darling Square Car Park ,"35 Tumbalong Bvd, Haymarket NSW 2000",Non-networked,2,AC,AC,-33.8782742,151.2025947,"Sydney, Council of the City of",2000,Existing Destination Chargers
,Four Points by Sheraton Sydney,"4 Central Park Ave, Chippendale NSW 2008",Non-networked,3,AC,AC,-33.8847132,151.1990103,"Sydney, Council of the City of",2008,Existing Destination Chargers
,Willows Motel Goulburn and Cultural Holiday Park,"1 Day St
Goulburn NSW 2580
Australia",Non-networked,2,AC,AC,-34.747564,149.7437857,Goulburn Mulwaree Council,2580,Destination Charging R1
,Zane Gray Caravan Park,"1 Lamont St
Bermagui NSW 2546
Australia",Non-networked,2,AC,AC,-36.4263368,150.0812421,Bega Valley Shire Council,2546,Destination Charging R2
,Gundagai Tourist Park,"1 Nangus Rd
Gundagai NSW 2722
Australia",Non-networked,2,AC,AC,-35.06431,148.097832,Cootamundra-gundagai Regional Council,2722,Destination Charging R2
,Stone & Wood Brewery Byron Bay,"100 Centennial Cirt
Byron Bay NSW 2481
Australia",Non-networked,4,AC,AC,-28.6373442,153.5806246,Byron Shire Council,2481,Destination Charging R1
,Garden Motor Inn,"101 West St
Gundagai NSW 2722
Australia",Non-networked,4,AC,AC,-35.0542257,148.1044927,Cootamundra-gundagai Regional Council,2722,Destination Charging R2
,Valley House,"10A Whiffens Ln
Central Tilba NSW 2546
Australia",Non-networked,1,AC,AC,-36.3120498,150.0765107,Eurobodalla Shire Council,2546,Destination Charging R2
,Sandbar Restaurant & Bar,"11 Hawke St
Huskisson NSW 2540
Australia",Non-networked,1,AC,AC,-35.0399182,150.6720389,Shoalhaven City Council,2540,Destination Charging R2
,Waterview Motel,"121 River St
Maclean NSW 2463
Australia",Non-networked,4,AC,AC,-29.4501292,153.2005031,Clarence Valley Council,2463,Destination Charging R2
,"Rosby Wines, Gallery & Sculpture Garden","122 Strikes Ln
Eurunderee NSW 2850
Australia",Non-networked,1,AC,AC,-32.5271932,149.6240234,Mid-Western Regional Council,2850,Destination Charging R2
,Reflections Coffs Harbour - Holiday Park,"123 Pacific Hwy
Coffs Harbour NSW 2450
Australia",Non-networked,4,AC,AC,-30.2926107,153.1183866,Coffs Harbour City Council,2450,Destination Charging R2
,,"13 Glasford Cres
Kioloa NSW 2539
Australia",Non-networked,1,AC,AC,-35.5640227,150.368081,Shoalhaven City Council,2539,Destination Charging R2
,Kyah Hotel,"13-17 Brightlands Ave
Blackheath NSW 2785
Australia",Non-networked,4,AC,AC,-33.6494257,150.287268,Blue Mountains City Council,2785,Destination Charging R1
,Pet Medical,"14 Aberdeen St
Muswellbrook NSW 2333
Australia",Non-networked,4,AC,AC,-32.2517419,150.8910133,Muswellbrook Shire Council,2333,Destination Charging R2
,Nimmitavel Motel,"15 Stanton St
Nimmitabel NSW 2631
Australia",Non-networked,2,AC,AC,-36.505705,149.2846518,Snowy Monaro Regional Council,2631,Destination Charging R2
,Nicholas Royal Motel,"152 Lachlan St
Hay NSW 2711
Australia",Non-networked,2,AC,AC,-34.5078372,144.84319,Hay Shire Council,2711,Destination Charging R2
,Newell Motor Inn,"16294 Newell Hwy
Gillenbah NSW 2700
Australia",Non-networked,2,AC,AC,-34.763256,146.537421,Narrandera Shire Council,2700,Destination Charging R2
,Palm View,"17 Babs Rd
Killcare Heights NSW 2257
Australia",Non-networked,1,AC,AC,-33.5242952,151.3751624,Central Coast Council,2257,Destination Charging R2
,Hobby Sheep Farm,"170 Fernleigh Clos
Windellama NSW 2580
Australia",Non-networked,1,AC,AC,-35.02389,149.8294783,Goulburn Mulwaree Council,2580,Destination Charging R2
,Heritage House Motel,"178 Imlay St
Eden NSW 2551
Australia",Non-networked,2,AC,AC,-37.0677683,149.9080465,Bega Valley Shire Council,2551,Destination Charging R1
,Reflections Evans Head - Holiday Park,"18 Park St
Evans Head NSW 2473
Australia",Non-networked,4,AC,AC,-29.1153168,153.4332473,Richmond Valley Council,2473,Destination Charging R2
,Sapphire Palms,"180 The Entrance Rd
The Entrance NSW 2261
Australia",Non-networked,2,AC,AC,-33.3502847,151.4927751,Central Coast Council,2261,Destination Charging R1
,Acacia Rose Motor Inn,"18-20 Thule St
Barham NSW 2732
Australia",Non-networked,2,AC,AC,-35.6274657,144.1251391,Murray River Council,2732,Destination Charging R2
,Hunter Valley Lodge,"188 Lomas Ln
Nulkaba NSW 2325
Australia",Non-networked,1,AC,AC,-32.7972575,151.3682454,Cessnock City Council,2325,Destination Charging R2
,Twin Swans Motel,"189 Glen Innes Rd
Inverell NSW 2360
Australia",Non-networked,2,AC,AC,-29.7816016,151.1323681,Inverell Shire Council,2360,Destination Charging R2
,Bega Motel,"191 Newtown Rd
Bega NSW 2550
Australia",Non-networked,3,AC,AC,-36.6823645,149.839409,Bega Valley Shire Council,2550,Destination Charging R2
,,"193 Great Western Hwy
Blackheath NSW 2785
Australia",Non-networked,4,AC,AC,-33.6404429,150.2856976,Blue Mountains City Council,2785,Destination Charging R2
,Club McLean,"1A McLachlan St
Maclean NSW 2463
Australia",Non-networked,2,AC,AC,-29.4568701,153.1988112,Clarence Valley Council,2463,Destination Charging R2
,Jervis Bay Mariners,"21 Beach St
Huskisson NSW 2540
Australia",Non-networked,1,AC,AC,-35.0484614,150.6747375,Shoalhaven City Council,2540,Destination Charging R2
,Palmers Lane Estate Hunter Valley,"212 Palmers Ln
Pokolbin NSW 2320
Australia",Non-networked,4,AC,AC,-32.7531513,151.3190671,Cessnock City Council,2320,Destination Charging R2
,Quest Dubbo,"22 Bultje St
Dubbo NSW 2830
Australia",Non-networked,2,AC,AC,-32.2509092,148.6014178,Dubbo Regional Council,2830,Destination Charging R2
,Griffith Golf Club,"22 Lloyd Prest Dr
Griffith NSW 2680
Australia",Non-networked,2,AC,AC,-34.266839,146.0620464,Griffith City Council,2680,Destination Charging R2
,Blackheath BnB,"22 Murri St
Blackheath NSW 2785
Australia",Non-networked,1,AC,AC,-33.6325307,150.2816709,Blue Mountains City Council,2785,Destination Charging R2
,Bay Escapes | Echoes @ Fingal Bay,"23 Bent St
Fingal Bay NSW 2315
Australia",Non-networked,1,AC,AC,-32.7507927,152.1687614,Port Stephens Council,2315,Destination Charging R2
,Darlington Point Motel,"23 Demamiel St
Darlington Point NSW 2706
Australia",Non-networked,2,AC,AC,-34.5735734,145.9926239,Murrumbidgee Council,2706,Destination Charging R2
,Endeavour Restaurant,"233 Newcastle Rd
East Maitland NSW 2323
Australia",Non-networked,4,AC,AC,-32.7534644,151.5867019,Maitland City Council,2323,Destination Charging R2
,Elbourne Wines,"236 Marrowbone Rd
Pokolbin NSW 2320
Australia",Non-networked,4,AC,AC,-32.8207908,151.297099,Cessnock City Council,2320,Destination Charging R2
,"Holiday Rental, Hyams Beach","24 Hyam Rd
Hyams Beach NSW 2540
Australia",Non-networked,1,AC,AC,-35.1003849,150.6898881,Shoalhaven City Council,2540,Destination Charging R2
,Summerhill Motor Inn,"24-26 Merimbula Dr
Merimbula NSW 2548
Australia",Non-networked,2,AC,AC,-36.8882532,149.9077513,Bega Valley Shire Council,2548,Destination Charging R1
,Brewarrina RSL,"25 Bourke St
Brewarrina NSW 2839
Australia",Non-networked,1,AC,AC,-29.9624024,146.8568241,Brewarrina Shire Council,2839,Destination Charging R2
,Pacific Palms,"26 Windsor St
Tarbuck Bay NSW 2428
Australia",Non-networked,1,AC,AC,-32.3688356,152.4814771,Mid-Coast Council,2428,Destination Charging R2
,Golf Links Motel,"260 Bridge St
West Tamworth NSW 2340
Australia",Non-networked,2,AC,AC,-31.0957897,150.9110546,Tamworth Regional Council,2340,Destination Charging R2
,Moby Dick Motel,"27-29 Yamba Rd
Yamba NSW 2464
Australia",Non-networked,2,AC,AC,-29.4341329,153.3426206,Clarence Valley Council,2464,Destination Charging R2
,Harrington Hotel,"28 Beach St
Harrington NSW 2427
Australia",Non-networked,2,AC,AC,-31.8713968,152.6864326,Mid-Coast Council,2427,Destination Charging R1
,Huskisson Beach Escape,"28 Jervis St
Huskisson NSW 2540
Australia",Non-networked,1,AC,AC,-35.0480392,150.6748735,Shoalhaven City Council,2540,Destination Charging R2
,El Motor Inn,"29 Clarence St
Port Macquarie NSW 2444
Australia",Non-networked,2,AC,AC,-31.4287429,152.9101337,Port Macquarie-Hastings Council,2444,Destination Charging R2
,THYNK Cafe + Bar,"3 Bowden Way
Beresfield NSW 2322
Australia",Non-networked,3,AC,AC,-32.8032274,151.6327583,Newcastle City Council,2322,Destination Charging R2
,Sapphire City Motor Inn,"30/34 Glen Innes Rd
Inverell NSW 2360
Australia",Non-networked,2,AC,AC,-29.7797733,151.1203632,Inverell Shire Council,2360,Destination Charging R2
,,"312 Tomakin Rd
Mogo (South) NSW 2536
Australia",Non-networked,2,AC,AC,-35.8010375,150.1562312,Eurobodalla Shire Council,2536,Destination Charging R2
,Walcha Motel,"31w
Fitzroy Street
Walcha NSW 2354
Australia",Non-networked,1,AC,AC,-30.985481,151.592206,Walcha Council,2354,Destination Charging R2
,Reflections Tuncurry - Holiday Park,"32 Beach St
Tuncurry NSW 2428
Australia",Non-networked,4,AC,AC,-32.1723603,152.5043552,Mid-Coast Council,2428,Destination Charging R2
,Port Macquarie Library,"32 Grant St
Port Macquarie NSW 2444
Australia",Non-networked,4,AC,AC,-31.4337922,152.9153328,Port Macquarie-Hastings Council,2444,Destination Charging R1
,Fairway Views Motor Inn,"32/34 Barooga Rd
Tocumwal NSW 2714
Australia",Non-networked,2,AC,AC,-35.8200381,145.579125,Berrigan Shire Council,2714,Destination Charging R2
,,"33 High View Rd
Pretty Beach NSW 2257
Australia",Non-networked,2,AC,AC,-33.5287205,151.3436003,Central Coast Council,2257,Destination Charging R2
,Federation Motel,"330 Honour Ave
Corowa NSW 2646
Australia",Non-networked,2,AC,AC,-35.98758,146.3983364,Federation Council,2646,Destination Charging R2
,Cotswold Gardens,"34 Marsh St
Armidale NSW 2350
Australia",Non-networked,2,AC,AC,-30.506123,151.6716565,Armidale Regional Council,2350,Destination Charging R2
,Allegiance Wines,"3446 Jingellic Rd
Mannus NSW 2653
Australia",Non-networked,2,AC,AC,-35.8039174,147.9341871,Snowy Valleys Council,2653,Destination Charging R2
,Adelaide Hotel,"36-38 Vulcan St
Moruya NSW 2537
Australia",Non-networked,2,AC,AC,-35.9086099,150.0815862,Eurobodalla Shire Council,2537,Destination Charging R1
,,"37 West St
Gundagai NSW 2722
Australia",Non-networked,4,AC,AC,-35.0613136,148.1019369,Cootamundra-gundagai Regional Council,2722,Destination Charging R2
,,"38 Long Brush Rd
Jerrara NSW 2533
Australia",Non-networked,3,AC,AC,-34.6730792,150.8213478,The Council Of The Municipality Of Kiama,2533,Destination Charging R2
,Melaleuca Cottage and Retreat,"381 Pinnacle Rd
Orange NSW 2800
Australia",Non-networked,2,AC,AC,-33.2992857,149.0751795,Orange City Council,2800,Destination Charging R2
,Oyster Catcher Huskisson,"4 Jervis St
Huskisson NSW 2540
Australia",Non-networked,1,AC,AC,-35.0476474,150.6716324,Shoalhaven City Council,2540,Destination Charging R2
,CRU Lake Mac Camp and Conference Centre,"40 Yarrawonga Park Rd
Balcolyn NSW 2264
Australia",Non-networked,4,AC,AC,-33.0961344,151.5456087,Lake Macquarie City Council,2264,Destination Charging R2
,Scone Equine Hospital,"406 Bunnan Rd
Scone NSW 2337
Australia",Non-networked,4,AC,AC,-32.0336355,150.8336413,Upper Hunter Shire Council,2337,Destination Charging R2
,Bellingen Farmstay,"417 Martells Rd
Brierfield NSW 2454
Australia",Non-networked,1,AC,AC,-30.5154968,152.9191183,Bellingen Shire Council,2454,Destination Charging R2
,Cedar Lodge Cabins,"42 Great Western Hwy
Mount Victoria NSW 2786
Australia",Non-networked,2,AC,AC,-33.585202,150.2478544,Blue Mountains City Council,2786,Destination Charging R2
,Clock Tower Motor Inn,"47 Dalgarno St
Coonabarabran NSW 2357
Australia",Non-networked,1,AC,AC,-31.2730884,149.2777807,Warrumbungle Shire Council,2357,Destination Charging R2
,Golf View Motel,"49 Paradise Beach Rd
Sanctuary Point NSW 2540
Australia",Non-networked,1,AC,AC,-35.1033393,150.6279103,Shoalhaven City Council,2540,Destination Charging R2
,Snowbound,"5 Crackenback Dr
Thredbo NSW 2625
Australia",Non-networked,2,AC,AC,-36.5063281,148.2986728,Snowy Monaro Regional Council,2625,Destination Charging R1
,Valley View,"5 Somerville St
Wentworth Falls NSW 2782
Australia",Non-networked,1,AC,AC,-33.7235158,150.3695563,Blue Mountains City Council,2782,Destination Charging R2
,Wombat Crossing Vineyard,"530 Hermitage Rd
Pokolbin NSW 2320
Australia",Non-networked,1,AC,AC,-32.6963407,151.2560085,Singleton Council,2320,Destination Charging R2
,Glenella Heritage House,"56 Govetts Leap Rd
Blackheath NSW 2785
Australia",Non-networked,1,AC,AC,-33.6361604,150.2872142,Blue Mountains City Council,2785,Destination Charging R2
,Rip Curl North Wollongong,"57-61 Flinders St, Wollongong NSW 2500",Non-networked,4,AC,AC,-34.4198217,150.8929,Wollongong City Council,2500,Existing Destination Chargers
,Cedars Mount View,"60 Mitchells Rd
Mount View NSW 2325
Australia",Non-networked,4,AC,AC,-32.8501413,151.2561489,Cessnock City Council,2325,Destination Charging R2
,The Barn,"610 Waverley Rd
Gundy NSW 2337
Australia",Non-networked,1,AC,AC,-31.9453826,151.0492051,Upper Hunter Shire Council,2337,Destination Charging R2
,The Albury Regent Motel,"666 Dean St
Albury NSW 2640
Australia",Non-networked,2,AC,AC,-36.0798354,146.9113978,Albury City Council,2640,Destination Charging R2
,Tumut Farrington Motel,"71-73 Capper St
Tumut NSW 2720
Australia",Non-networked,2,AC,AC,-35.3017613,148.2194634,Snowy Valleys Council,2720,Destination Charging R2
,de Russie Boutique Hotel Orange,"72 Hill St
Orange NSW 2800
Australia",Non-networked,4,AC,AC,-33.2818232,149.0944686,Orange City Council,2800,Destination Charging R2
,Serenity Diamond Beach,"75 Sundew Ave
Diamond Beach NSW 2430
Australia",Non-networked,4,AC,AC,-32.0313214,152.542672,Mid-Coast Council,2430,Destination Charging R2
,Lake Macquarie Motor Inn,"798 Pacific Hwy
Marks Point NSW 2280
Australia",Non-networked,2,AC,AC,-33.0586722,151.6517336,Lake Macquarie City Council,2280,Destination Charging R1
,Cobb Inlander Motel,"83 Lachlan St
Hay NSW 2711
Australia",Non-networked,4,AC,AC,-34.5108372,144.8442236,Hay Shire Council,2711,Destination Charging R2
,Common People Brewing Co,"9 Dudgeons Ln
Bangalow NSW 2479
Australia",Non-networked,2,AC,AC,-28.6979431,153.5089376,Byron Shire Council,2479,Destination Charging R2
,The Old Convent Guesthouse,"9 John St
Largs NSW 2320
Australia",Non-networked,1,AC,AC,-32.7008228,151.604682,Maitland City Council,2320,Destination Charging R2
,The Midge Tallong,"90 Caoura Rd
Tallong NSW 2579
Australia",Non-networked,2,AC,AC,-34.7188347,150.0854365,Goulburn Mulwaree Council,2579,Destination Charging R2
,Greenacres Motel,"91 Federation Ave
Corowa NSW 2646
Australia",Non-networked,2,AC,AC,-36.0057314,146.3790351,Federation Council,2646,Destination Charging R2
,Lyrebird's Nest Campground,"91 Koolilabah Ln
Penrose NSW 2579
Australia",Non-networked,1,AC,AC,-34.6782742,150.2188143,Wingecarribee Shire Council,2579,Destination Charging R2
,Hunter Moon Country House,"919 Milbrodale Rd
Broke NSW 2330
Australia",Non-networked,1,AC,AC,-32.7456553,151.0655131,Singleton Council,2330,Destination Charging R2
,Reflections Bonny Hills - Holiday Park,"920 Ocean Dr
Bonny Hills NSW 2445
Australia",Non-networked,4,AC,AC,-31.5918683,152.8406094,Port Macquarie-Hastings Council,2445,Destination Charging R2
,Mercure Orange,"94 Byng St
Orange NSW 2800
Australia",Non-networked,2,AC,AC,-33.2815546,149.0974677,Orange City Council,2800,Destination Charging R2
,Reflections Eden,"Aslings Beach Rd
Eden NSW 2551
Australia",Non-networked,4,AC,AC,-37.0563346,149.9121501,Bega Valley Shire Council,2551,Destination Charging R2
,Mollymook Motel,"Cnr Princes Hwy & Golf Ave
Mollymook NSW 2539
Australia",Non-networked,1,AC,AC,-35.3435245,150.4733591,Shoalhaven City Council,2539,Destination Charging R2
,Reflections Lennox Head,"Cnr Ross Street & Pacific Parade
LENNOX HEAD NSW 2478
Australia",Non-networked,2,AC,AC,-28.7865684,153.5933939,Ballina Shire Council,2478,Destination Charging R2
