OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"10 Colden Dr, Albion Park Rail, 2527",Chargefox,4,AC,22 kW,-34.57356661,150.8134274,Shellharbour City Council,2527,Existing Destination Chargers
,,"10 Elizabeth St, Bathurst, 2795",Evie,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795,Existing Fast Chargers
,,"10 Rugby Rd, Newcastle, 2305",Tesla,1,AC,22 kW,-32.9207518,151.7155225,Newcastle City Council,2305,Existing Destination Chargers
,,"10 Seymour street, Laurieton, 2443",Exploren,2,AC,22 kW,-31.65042247,152.7958869,Port Macquarie-Hastings Council,2443,Existing Destination Chargers
,,"10 Tryon Rd, Sydney, 2070",Chargefox,10,AC,22 kW,-33.77481686,151.1704995,Ku-ring-gai Council,2070,Existing Destination Chargers
,,"10 Tryon Rd, Sydney, 2070",Exploren,5,AC,6 kW,-33.77497902,151.1702102,Ku-ring-gai Council,2070,Existing Destination Chargers
,,"10 Victoria St, Wollongong , NSW 2500",EVX,2,AC,22 kW,-34.42213018,150.891979,Wollongong City Council,NSW 2500,Existing Destination Chargers
,,"10 Winery Dr, Port Macquarie, 2444",Tesla,12,DC,130 kW,-31.43610015,152.8235826,Port Macquarie-Hastings Council,2444,Existing Fast Chargers
,,"100 Weakleys Dr, Beresfield, 2322",Exploren,3,AC,22 kW,-32.80300905,151.6334314,Newcastle City Council,2322,Existing Destination Chargers
,,"101 Goulburn St, Sydney, 2000",Chargefox,4,AC,6 kW,-33.87844949,151.208999,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"101 Grafton St, Sydney, 2022",Tesla,4,AC,22 kW,-33.89091996,151.2508218,Waverley Council,2022,Existing Destination Chargers
,,"102 Volt Lane, Albury, 2640",Exploren,4,AC,22 kW,-36.08176781,146.9163193,Albury City Council,2640,Existing Destination Chargers
,,"103 Sandy Flat Rd, Sandy Flat, 2372",Tesla,2,AC,22 kW,-29.23413718,152.0222883,Tenterfield Shire Council,2372,Existing Destination Chargers
,,"1034 The Escort Way, Borenore, 2800",Tesla,2,AC,22 kW,-33.25922627,149.00404,Cabonne Council,2800,Existing Destination Chargers
,,"105 Station Rd, Sydney, 2147",Ampol,2,DC,150 kW,-33.77436041,150.9448809,Blacktown City Council,2147,Existing Fast Chargers
,,"106 Parraween St, Sydney, 2090",Evie,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090,Existing Fast Chargers
,,"1067 Oxley Hwy, Thrumster, 2444",Chargefox,4,DC,180 kW,-31.46394199,152.8219499,Port Macquarie-Hastings Council,2444,Existing Fast Chargers
,,"1068 Pittwater Rd, Sydney, 2097",JOLT,2,DC,25 kW,-33.73111016,151.301011,Northern Beaches Council,2097,Existing Fast Chargers
,,"107 John St, Singleton, 2330",Exploren,1,AC,22 kW,-32.56552757,151.1671401,Singleton Council,2330,Existing Destination Chargers
,,"108 Ingleburn Rd, Leppington, 2179",Chargefox,6,AC,6 kW,-33.96187992,150.8062342,Camden Council,2179,Existing Destination Chargers
,,"109 Beecroft Rd, Sydney, 2119",JOLT,2,DC,25 kW,-33.75051656,151.0650831,"Hornsby, The Council of the Shire of",2119,Existing Fast Chargers
,,"109 Cobra St, Dubbo, 2830",Tesla,2,AC,14 kW,-32.25474879,148.6101421,Dubbo Regional Council,2830,Existing Destination Chargers
,,"109 Whylandra St, Dubbo, 2830",Tesla,1,AC,22 kW,-32.25216621,148.5899209,Dubbo Regional Council,2830,Existing Destination Chargers
,,"10B Charles St, Sydney, 2193",Exploren,1,AC,6 kW,-33.91171076,151.1172923,Canterbury Bankstown Council,2193,Existing Destination Chargers
,,"10W Apsley St, Walcha NSW 2354, Australia",NRMA,4,DC,50 kW,-29.960127,146.8578887,Walcha Council,2839,TfNSW Regional
,,"11 Coolangatta Rd, Coolangatta, 2535",EVUp,2,AC,22 kW,-34.84028833,150.7323604,Shoalhaven City Council,2535,Existing Destination Chargers
,,"11 Coolangatta Rd, Coolangatta, 2535",Tesla,2,AC,6 kW,-34.8392503,150.7340831,Shoalhaven City Council,2535,Existing Destination Chargers
,,"11 Ewingsdale Rd, Ewingsdale, 2481",NRMA,4,DC,75 kW,-28.63612817,153.5534605,Byron Shire Council,2481,Existing Fast Chargers
,,"11 Hickson Rd, Sydney, 2000",Tesla,2,AC,22 kW,-33.85426831,151.2081952,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"11 Jamison St, Sydney, 2000",Tesla,2,AC,22 kW,-33.86433138,151.2060691,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"11 Renown Rd, Sydney, 2153",Tesla,1,AC,19 kW,-33.76312017,151.0042903,The Hills Shire Council,2153,Existing Destination Chargers
,,"11 Scott St, Sydney, 2170",JOLT,2,DC,25 kW,-33.92522427,150.9265836,Liverpool City Council,2170,Existing Fast Chargers
,,"11 West St, Wollongong, 2500",EVUp,2,AC,23 kW,-34.43367372,150.8916216,Wollongong City Council,2500,Existing Destination Chargers
,,"11 William St, Bellingen, 2454",EVX,2,AC,22 kW,-30.4527558,152.896039,Bellingen Shire Council,2454,Existing Destination Chargers
,,"110 Anzac Pde, Sydney, 2033",JOLT,2,DC,25 kW,-33.90717322,151.2239409,Randwick City Council,2033,Existing Fast Chargers
,,"1106 Barrenjoey Rd, Sydney, 2108",JOLT,2,DC,25 kW,-33.59707712,151.320022,Northern Beaches Council,2108,Existing Fast Chargers
,,"1-11 Lexington Dr, Sydney, 2153",ChargePoint,6,AC,6 kW,-33.73669174,150.9503203,The Hills Shire Council,2153,Existing Destination Chargers
,,"111 Park Beach Rd, Coffs Harbour, 2450",Tesla,2,AC,6 kW,-30.28609214,153.1365155,Coffs Harbour City Council,2450,Existing Destination Chargers
,,"113 Hanwood Ave, Hanwood, 2680",Tesla,2,AC,22 kW,-34.3407558,146.0586336,Griffith City Council,2680,Existing Destination Chargers
,,"11-37 Alexandria Pde, Sydney, 2077",JOLT,2,DC,25 kW,-33.70973178,151.1045866,"Hornsby, The Council of the Shire of",2077,Existing Fast Chargers
,,"115 Rowe St, Sydney, 2122",Tesla,2,AC,19 kW,-33.79103908,151.0830941,"Ryde, Council of the City of",2122,Existing Destination Chargers
,,"115-133 Dunning Ave, Sydney, 2018",Exploren,4,AC,22 kW,-33.91833338,151.2021642,"Sydney, Council of the City of",2018,Existing Destination Chargers
,,"116 Liverpool St, Scone, NSW 2337, Australia",NRMA,2,DC,50 kW,-31.9598511,141.4601038,Upper Hunter Shire Council,2880,TfNSW Regional
,,"117 Glenayr Ave, Sydney, 2026",Chargefox,1,AC,6 kW,-33.88682487,151.2723734,Waverley Council,2026,Existing Destination Chargers
,,"117 Macquarie St, Sydney, 2000",Tesla,2,AC,22 kW,-33.86298603,151.2123053,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"118 Allambie Rd, Sydney, 2100",Exploren,1,AC,22 kW,-33.76549154,151.2511982,Northern Beaches Council,2100,Existing Destination Chargers
,,"1183-1187 The Horsley Dr, Sydney, 2164",Chargefox,2,DC,150 kW,-33.84986891,150.8978248,Fairfield City Council,2164,Existing Fast Chargers
,,"1183-1187 The Horsley Dr, Wetherill Park NSW 2164",Engie,2,DC,150 kW,-33.8505352,150.8988605,Fairfield City Council,2164,ARENA - Driving the Nation
,,"119 Borella Rd
East Albury NSW 2640
Australia",EVUp,4,AC,AC,-36.0779535,146.9432129,Albury City Council,2640,Destination Charging R1
,,"119 Greenwell Point Rd, Greenwell Point, 2540",Everty,1,AC,22 kW,-34.90711116,150.7351051,Shoalhaven City Council,2540,Existing Destination Chargers
,,"119 Stenhouse Drive, Cameron Park, 2285",Evie,8,DC,350 kW,-32.89647352,151.5977107,Lake Macquarie City Council,2285,Existing Fast Chargers
,,"12 Arncliffe St, Sydney, 2205",Exploren,1,AC,22 kW,-33.93374179,151.1492883,Bayside Council,2205,Existing Destination Chargers
,,"12 Carabella St, Sydney, 2061",Tesla,2,AC,22 kW,-33.85016221,151.2184795,"North Sydney, Council of the City of Council",2061,Existing Destination Chargers
,,"12 Cooper Park Rd, Sydney, 2023",Chargefox,2,AC,6 kW,-33.88496401,151.2533664,Woollahra Municipal Council,2023,Existing Destination Chargers
,,"12 Hume Hwy, Pheasants Nest, 2574",Ampol,9,DC,150 kW,-34.28138543,150.640016,Wollondilly Shire Council,2574,Existing Fast Chargers
,,"12 Hume Hwy, Pheasants Nest, 2574",Ampol,9,DC,150 kW,-34.28222427,150.6366026,Wollondilly Shire Council,2574,Existing Fast Chargers
,,"12 Jacksons Rd, Sydney, 2102",Chargefox,2,AC,22 kW,-33.69607712,151.297028,Northern Beaches Council,2102,Existing Destination Chargers
,,"12 Jacksons Rd, Warriewood NSW 2102",Engie,2,DC,150 kW,-33.6971741,151.2956935,Northern Beaches Council,2102,ARENA - Driving the Nation
,,"12 Lord St, Botany NSW 2019",Evie,4,DC,75 kW,-33.939429,151.1970375,Bayside Council,2019,ARENA - Driving the Nation
,,"12 Rosenthal Ave, Sydney, 2066",Exploren,6,AC,22 kW,-33.81383988,151.1692322,Lane Cove Municipal Council,2066,Existing Destination Chargers
,,"12 Trinity Ave, Dawes Point, 2000",EVX,2,AC,22 kW,-33.85740045,151.2065726,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"12 Yulong Ave, Sydney, 2084",Exploren,1,AC,22 kW,-33.68222127,151.227953,Northern Beaches Council,2084,Existing Destination Chargers
